=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/esp-01.txt
  - documents/esp-02.txt
  - documents/esp-03.txt
  - documents/esp-04.txt
  - documents/esp-05.txt
  - documents/esp-06.txt
  - documents/esp-07.txt
  - documents/esp-08.txt
  - documents/esp-09.txt
  - documents/esp-10.txt

•Stop Words File: stop-words/stop-words-es.txt
•Lemmatization File: lemmatization/corpus-es.json

=============================== TABLES OF TERMS ================================

=========================== documents/esp-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
azul                              0.000000    1.000000    0.000000            N/A
babeando                          0.000000    1.000000    0.000000            N/A
bacalao                           0.000000    1.000000    0.000000            N/A
baj                               0.000000    1.000000    0.000000            N/A
baja                              0.000000    1.000000    0.000000            N/A
bajamos                           0.000000    1.000000    0.000000            N/A
bajaron                           0.000000    1.000000    0.000000            N/A
bajarse                           0.000000    1.000000    0.000000            N/A
bala                              0.000000    1.000000    0.000000            N/A
balas                             0.000000    1.000000    0.000000            N/A
balazo                            0.000000    1.000000    0.000000            N/A
balcn                             0.000000    1.000000    0.000000            N/A
banco                             0.000000    1.000000    0.000000            N/A
barra                             0.000000    1.000000    0.000000            N/A
bastaba                           1.000000    0.522879    0.046899         14, 59
bastado                           0.000000    1.000000    0.000000            N/A
bastara                           0.000000    1.000000    0.000000            N/A
batracios                         0.000000    1.000000    0.000000            N/A
bayas                             0.000000    1.000000    0.000000            N/A
bebi                              0.000000    1.000000    0.000000            N/A
belleza                           1.301030    1.000000    0.061018          3, 14
berkowitz                         0.000000    1.000000    0.000000            N/A
biblia                            0.000000    1.000000    0.000000            N/A
biblioteca                        0.000000    1.000000    0.000000            N/A
bicicleta                         0.000000    1.000000    0.000000            N/A
billete                           0.000000    0.698970    0.000000            N/A
blanca                            0.000000    1.000000    0.000000            N/A
blancas                           0.000000    1.000000    0.000000            N/A
blandas                           0.000000    1.000000    0.000000            N/A
boca                              0.000000    1.000000    0.000000            N/A
bocas                             0.000000    0.698970    0.000000            N/A
bolgrafo                          1.000000    1.000000    0.046899          0, 54
borde                             1.000000    1.000000    0.046899           6, 6
bordea                            0.000000    1.000000    0.000000            N/A
bosque                            0.000000    0.522879    0.000000            N/A
bosques                           0.000000    1.000000    0.000000            N/A
branquias                         0.000000    1.000000    0.000000            N/A
brasas                            0.000000    1.000000    0.000000            N/A
brazos                            0.000000    1.000000    0.000000            N/A
brbaros                           0.000000    1.000000    0.000000            N/A
breve                             0.000000    0.698970    0.000000            N/A
brillaba                          0.000000    1.000000    0.000000            N/A
brillaban                         1.000000    0.698970    0.046899           9, 9
brillando                         1.000000    1.000000    0.046899          5, 40
brillante                         0.000000    1.000000    0.000000            N/A
brillantes                        0.000000    0.698970    0.000000            N/A
brisa                             1.000000    1.000000    0.046899          1, 34
broma                             0.000000    1.000000    0.000000            N/A
bruscamente                       0.000000    1.000000    0.000000            N/A
bulevar                           0.000000    1.000000    0.000000            N/A
burbujas                          0.000000    1.000000    0.000000            N/A
busca                             0.000000    0.522879    0.000000            N/A
buscaba                           0.000000    1.000000    0.000000            N/A
buscarla                          1.000000    1.000000    0.046899          8, 30
caa                               0.000000    1.000000    0.000000            N/A
cabeza                            0.000000    0.698970    0.000000            N/A
cabezas                           0.000000    1.000000    0.000000            N/A
cabo                              0.000000    1.000000    0.000000            N/A
cac                               0.000000    1.000000    0.000000            N/A
cacera                            0.000000    1.000000    0.000000            N/A
cae                               0.000000    1.000000    0.000000            N/A
caer                              0.000000    1.000000    0.000000            N/A
caf                               0.000000    1.000000    0.000000            N/A
cajas                             0.000000    1.000000    0.000000            N/A
calle                             0.000000    0.698970    0.000000            N/A
calles                            0.000000    0.698970    0.000000            N/A
calma                             1.301030    0.397940    0.061018          7, 31
cama                              0.000000    1.000000    0.000000            N/A
cambi                             1.000000    1.000000    0.046899         14, 40
cambia                            0.000000    1.000000    0.000000            N/A
cambiado                          0.000000    1.000000    0.000000            N/A
cambiar                           1.000000    0.522879    0.046899          2, 65
cambioes                          0.000000    1.000000    0.000000            N/A
camin                             0.000000    0.397940    0.000000            N/A
caminar                           1.301030    1.000000    0.061018           0, 9
caminata                          1.000000    1.000000    0.046899          1, 14
camino                            1.477121    0.698970    0.069276           2, 3
caminos                           0.000000    1.000000    0.000000            N/A
candentes                         0.000000    1.000000    0.000000            N/A
canibalismo                       0.000000    1.000000    0.000000            N/A
cansada                           0.000000    0.698970    0.000000            N/A
cansados                          0.000000    1.000000    0.000000            N/A
cantar                            0.000000    1.000000    0.000000            N/A
capaces                           0.000000    1.000000    0.000000            N/A
capacidad                         0.000000    1.000000    0.000000            N/A
capaz                             0.000000    1.000000    0.000000            N/A
captaban                          0.000000    1.000000    0.000000            N/A
capturaban                        0.000000    1.000000    0.000000            N/A
cara                              0.000000    0.698970    0.000000            N/A
caracol                           0.000000    1.000000    0.000000            N/A
caras                             0.000000    1.000000    0.000000            N/A
caravanas                         0.000000    1.000000    0.000000            N/A
carentes                          0.000000    1.000000    0.000000            N/A
cargado                           0.000000    1.000000    0.000000            N/A
carne                             0.000000    1.000000    0.000000            N/A
carnes                            0.000000    1.000000    0.000000            N/A
carretera                         0.000000    1.000000    0.000000            N/A
carruajes                         0.000000    1.000000    0.000000            N/A
cartas                            0.000000    1.000000    0.000000            N/A
cartel                            0.000000    1.000000    0.000000            N/A
cartuchos                         0.000000    1.000000    0.000000            N/A
casa                              0.000000    0.522879    0.000000            N/A
casi                              1.000000    0.397940    0.046899          0, 34
causado                           0.000000    1.000000    0.000000            N/A
cazaron                           0.000000    1.000000    0.000000            N/A
celebraban                        0.000000    1.000000    0.000000            N/A
centmetros                        0.000000    1.000000    0.000000            N/A
central                           0.000000    1.000000    0.000000            N/A
cerca                             1.000000    0.698970    0.046899           6, 4
cerr                              1.000000    0.522879    0.046899          11, 0
ces                               0.000000    1.000000    0.000000            N/A
chapotear                         1.000000    1.000000    0.046899          7, 13
charcos                           0.000000    1.000000    0.000000            N/A
chillar                           0.000000    1.000000    0.000000            N/A
chillbamos                        0.000000    1.000000    0.000000            N/A
chinas                            0.000000    1.000000    0.000000            N/A
chirriando                        0.000000    1.000000    0.000000            N/A
ciega                             0.000000    1.000000    0.000000            N/A
cielo                             1.602060    0.397940    0.075136          0, 11
cigarrillo                        0.000000    1.000000    0.000000            N/A
cinco                             0.000000    1.000000    0.000000            N/A
ciudad                            0.000000    0.522879    0.000000            N/A
claramente                        0.000000    1.000000    0.000000            N/A
claro                             0.000000    0.698970    0.000000            N/A
clase                             1.000000    1.000000    0.046899          3, 28
clidas                            0.000000    1.000000    0.000000            N/A
clido                             1.000000    1.000000    0.046899         14, 16
club                              0.000000    1.000000    0.000000            N/A
cmo                               1.602060    0.397940    0.075136          6, 26
coches                            0.000000    1.000000    0.000000            N/A
cocina                            0.000000    1.000000    0.000000            N/A
cola                              0.000000    1.000000    0.000000            N/A
colgaba                           0.000000    1.000000    0.000000            N/A
colgaban                          0.000000    1.000000    0.000000            N/A
colndose                          0.000000    1.000000    0.000000            N/A
colocaron                         0.000000    1.000000    0.000000            N/A
color                             0.000000    1.000000    0.000000            N/A
coloridas                         1.000000    1.000000    0.046899          9, 15
columna                           0.000000    0.698970    0.000000            N/A
comenz                            0.000000    0.698970    0.000000            N/A
comenzaba                         1.000000    0.522879    0.046899          3, 66
comer                             0.000000    1.000000    0.000000            N/A
comestibles                       0.000000    1.000000    0.000000            N/A
comi                              0.000000    1.000000    0.000000            N/A
comida                            0.000000    1.000000    0.000000            N/A
comiendo                          0.000000    1.000000    0.000000            N/A
comienzo                          1.000000    1.000000    0.046899          0, 43
compar                            1.000000    1.000000    0.046899           8, 1
completamente                     1.000000    1.000000    0.046899         14, 20
completo                          0.000000    1.000000    0.000000            N/A
comprend                          1.000000    0.522879    0.046899         13, 26
comprender                        0.000000    0.698970    0.000000            N/A
comprensin                        0.000000    1.000000    0.000000            N/A
comunicacin                       0.000000    1.000000    0.000000            N/A
comunicados                       0.000000    1.000000    0.000000            N/A
comunicarle                       0.000000    1.000000    0.000000            N/A
conciencia                        0.000000    1.000000    0.000000            N/A
conclusin                         0.000000    1.000000    0.000000            N/A
condena                           0.000000    1.000000    0.000000            N/A
condenado                         0.000000    1.000000    0.000000            N/A
condenados                        0.000000    1.000000    0.000000            N/A
conduciendo                       0.000000    1.000000    0.000000            N/A
conectado                         1.000000    1.000000    0.046899          3, 84
conform                           0.000000    1.000000    0.000000            N/A
conmigo                           0.000000    0.698970    0.000000            N/A
conoc                             0.000000    1.000000    0.000000            N/A
conocera                          0.000000    1.000000    0.000000            N/A
conocernos                        0.000000    1.000000    0.000000            N/A
conoces                           0.000000    1.000000    0.000000            N/A
conocindolo                       0.000000    1.000000    0.000000            N/A
consciente                        0.000000    1.000000    0.000000            N/A
conscientes                       0.000000    1.000000    0.000000            N/A
consegua                          0.000000    1.000000    0.000000            N/A
conservaba                        1.000000    1.000000    0.046899          0, 13
considerable                      0.000000    1.000000    0.000000            N/A
consiste                          0.000000    1.000000    0.000000            N/A
constante                         1.000000    1.000000    0.046899          5, 18
construido                        0.000000    1.000000    0.000000            N/A
consuela                          0.000000    1.000000    0.000000            N/A
consuelo                          0.000000    1.000000    0.000000            N/A
consult                           0.000000    1.000000    0.000000            N/A
consultar                         0.000000    1.000000    0.000000            N/A
consume                           0.000000    1.000000    0.000000            N/A
contar                            0.000000    0.698970    0.000000            N/A
continan                          0.000000    1.000000    0.000000            N/A
continuaba                        0.000000    1.000000    0.000000            N/A
continuamos                       0.000000    1.000000    0.000000            N/A
contra                            0.000000    0.522879    0.000000            N/A
contraccin                        0.000000    1.000000    0.000000            N/A
contrario                         1.000000    0.698970    0.046899          4, 45
conviviendo                       1.000000    1.000000    0.046899          7, 59
coral                             0.000000    1.000000    0.000000            N/A
corazas                           0.000000    1.000000    0.000000            N/A
corra                             0.000000    1.000000    0.000000            N/A
corran                            0.000000    1.000000    0.000000            N/A
correcta                          0.000000    1.000000    0.000000            N/A
corri                             0.000000    1.000000    0.000000            N/A
corroda                           0.000000    1.000000    0.000000            N/A
cortados                          0.000000    1.000000    0.000000            N/A
cosa                              0.000000    0.698970    0.000000            N/A
cosas                             1.301030    0.522879    0.061018          6, 57
costumbre                         0.000000    1.000000    0.000000            N/A
crculos                           1.000000    1.000000    0.046899          7, 23
crecan                            0.000000    1.000000    0.000000            N/A
cree                              0.000000    1.000000    0.000000            N/A
creen                             0.000000    1.000000    0.000000            N/A
creerme                           0.000000    1.000000    0.000000            N/A
creo                              0.000000    0.698970    0.000000            N/A
creyendo                          0.000000    0.698970    0.000000            N/A
criaturas                         0.000000    1.000000    0.000000            N/A
cristal                           0.000000    1.000000    0.000000            N/A
crneo                             0.000000    1.000000    0.000000            N/A
crueldad                          0.000000    1.000000    0.000000            N/A
crujido                           0.000000    1.000000    0.000000            N/A
cruz                              0.000000    0.698970    0.000000            N/A
cruzaban                          1.000000    0.698970    0.046899          4, 12
cruzan                            0.000000    0.698970    0.000000            N/A
cruzando                          0.000000    1.000000    0.000000            N/A
cruzaron                          0.000000    1.000000    0.000000            N/A
cuaderno                          1.602060    0.698970    0.075136          0, 51
cualquier                         1.000000    0.698970    0.046899         13, 39
cuarto                            0.000000    1.000000    0.000000            N/A
cuatro                            0.000000    1.000000    0.000000            N/A
cubierto                          1.000000    0.698970    0.046899          2, 17
cuchilladas                       0.000000    1.000000    0.000000            N/A
cuchillo                          0.000000    1.000000    0.000000            N/A
cuenta                            0.000000    0.301030    0.000000            N/A
cuerpecito                        0.000000    1.000000    0.000000            N/A
cuerpo                            0.000000    0.698970    0.000000            N/A
cuevas                            0.000000    1.000000    0.000000            N/A
cuidado                           0.000000    1.000000    0.000000            N/A
culata                            0.000000    1.000000    0.000000            N/A
cumbres                           0.000000    1.000000    0.000000            N/A
cun                               0.000000    1.000000    0.000000            N/A
cundo                             0.000000    1.000000    0.000000            N/A
cuntas                            0.000000    1.000000    0.000000            N/A
cuntos                            1.000000    1.000000    0.046899         10, 22
curiosidad                        0.000000    1.000000    0.000000            N/A
curiosos                          0.000000    1.000000    0.000000            N/A
curvos                            0.000000    1.000000    0.000000            N/A
da                                1.301030    0.301030    0.061018          0, 45
dando                             0.000000    1.000000    0.000000            N/A
danza                             0.000000    1.000000    0.000000            N/A
danzbamos                         0.000000    1.000000    0.000000            N/A
dar                               0.000000    0.522879    0.000000            N/A
dardos                            0.000000    1.000000    0.000000            N/A
darme                             0.000000    1.000000    0.000000            N/A
darnos                            0.000000    1.000000    0.000000            N/A
das                               0.000000    0.698970    0.000000            N/A
de                                2.505150    0.000000    0.117490          0, 16
deba                              1.000000    0.698970    0.046899          12, 5
debajo                            1.000000    1.000000    0.046899          8, 22
debe                              0.000000    1.000000    0.000000            N/A
debemos                           0.000000    1.000000    0.000000            N/A
debido                            0.000000    1.000000    0.000000            N/A
deca                              0.000000    1.000000    0.000000            N/A
decan                             0.000000    1.000000    0.000000            N/A
decid                             1.000000    0.698970    0.046899           0, 6
decir                             0.000000    0.301030    0.000000            N/A
decisin                           0.000000    1.000000    0.000000            N/A
dedo                              0.000000    1.000000    0.000000            N/A
dedos                             0.000000    0.698970    0.000000            N/A
definitivamente                   0.000000    1.000000    0.000000            N/A
dej                               1.000000    0.301030    0.046899         14, 44
dejaba                            1.000000    1.000000    0.046899         11, 24
dejaban                           0.000000    1.000000    0.000000            N/A
dejado                            1.000000    0.698970    0.046899          4, 63
dejando                           0.000000    0.698970    0.000000            N/A
dejndose                          0.000000    1.000000    0.000000            N/A
dejo                              1.000000    1.000000    0.046899         10, 27
delante                           0.000000    0.698970    0.000000            N/A
delgadsimo                        0.000000    1.000000    0.000000            N/A
delicadeza                        0.000000    1.000000    0.000000            N/A
demasiada                         1.000000    1.000000    0.046899          1, 52
demasiado                         1.000000    0.698970    0.046899         10, 31
dems                              0.000000    1.000000    0.000000            N/A
denso                             0.000000    1.000000    0.000000            N/A
derecha                           1.000000    0.698970    0.046899          2, 31
derram                            0.000000    1.000000    0.000000            N/A
des                               0.000000    1.000000    0.000000            N/A
