=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/document-01.txt
  - documents/document-02.txt

•Stop Words File: stop-words/stop-words-en.txt
•Lemmatization File: lemmatization/corpus-en.json

=============================== TABLES OF TERMS ================================

=========================== documents/document-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
overlook                          0.000000    0.301030    0.000000            N/A
pace                              0.000000    0.301030    0.000000            N/A
pack                              0.000000    0.301030    0.000000            N/A
paint                             1.000000    0.301030    0.056713          0, 22
pale                              1.000000    0.301030    0.056713          0, 31
part                              1.301030    0.301030    0.073786           2, 2
pass                              1.477121    0.000000    0.083772          2, 92
path                              1.698970    0.000000    0.096354           1, 1
pause                             1.000000    0.000000    0.056713          2, 51
pay                               1.000000    0.301030    0.056713         13, 59
peace                             1.000000    0.000000    0.056713         12, 42
pen                               1.000000    0.301030    0.056713          0, 60
penthinking                       0.000000    0.301030    0.000000            N/A
perfectly                         0.000000    0.301030    0.000000            N/A
pieces                            1.301030    0.301030    0.073786          3, 87
pine                              1.000000    0.000000    0.056713          4, 30
pines                             1.000000    0.000000    0.056713          2, 39
place                             1.000000    0.000000    0.056713         13, 42
plan                              0.000000    0.301030    0.000000            N/A
plant                             1.000000    0.000000    0.056713          7, 55
presence                          1.000000    0.301030    0.056713          1, 53
present                           1.000000    0.000000    0.056713          4, 52
problems                          1.000000    0.301030    0.056713         14, 35
prove                             1.000000    0.301030    0.056713         11, 23
quickly                           0.000000    0.301030    0.000000            N/A
quiet                             1.301030    0.000000    0.073786           0, 3
quietly                           1.301030    0.301030    0.073786          1, 38
rare                              1.000000    0.000000    0.056713         11, 54
reach                             1.477121    0.000000    0.083772           4, 1
realize                           1.301030    0.000000    0.073786          10, 1
reasoni                           0.000000    0.301030    0.000000            N/A
reflect                           1.000000    0.000000    0.056713          3, 43
remind                            1.301030    0.000000    0.073786          3, 76
reminder                          1.000000    0.000000    0.056713         12, 47
require                           1.000000    0.301030    0.056713          4, 36
rest                              1.000000    0.000000    0.056713          9, 40
reveal                            0.000000    0.301030    0.000000            N/A
rhythm                            0.000000    0.301030    0.000000            N/A
ring                              0.000000    0.301030    0.000000            N/A
ripples                           1.000000    0.000000    0.056713          7, 13
rise                              1.000000    0.000000    0.056713          0, 21
road                              1.000000    0.000000    0.056713          2, 11
rock                              1.000000    0.301030    0.056713           6, 5
roots                             1.000000    0.000000    0.056713          4, 22
ropes                             0.000000    0.301030    0.000000            N/A
rougher                           0.000000    0.301030    0.000000            N/A
row                               1.000000    0.000000    0.056713          2, 37
rugged                            1.000000    0.301030    0.056713          4, 15
rush                              1.000000    0.000000    0.056713         10, 45
rustled                           1.000000    0.301030    0.056713          1, 25
scattering                        0.000000    0.301030    0.000000            N/A
scent                             0.000000    0.301030    0.000000            N/A
schedule                          1.000000    0.301030    0.056713          2, 84
schedules                         0.000000    0.301030    0.000000            N/A
send                              0.000000    0.301030    0.000000            N/A
sense                             1.000000    0.301030    0.056713          3, 60
separate                          1.000000    0.301030    0.056713          3, 86
shades                            0.000000    0.301030    0.000000            N/A
shards                            0.000000    0.301030    0.000000            N/A
sharp                             0.000000    0.301030    0.000000            N/A
sharper                           1.000000    0.301030    0.056713          4, 27
shimmered                         1.000000    0.000000    0.056713          5, 52
shine                             0.000000    0.301030    0.000000            N/A
shore                             1.301030    0.000000    0.073786          5, 27
short                             0.000000    0.301030    0.000000            N/A
side                              1.301030    0.301030    0.073786          2, 14
sight                             1.000000    0.000000    0.056713          5, 10
silent                            0.000000    0.301030    0.000000            N/A
simply                            1.301030    0.000000    0.073786          9, 39
single                            1.000000    0.000000    0.056713          7, 28
sit                               1.301030    0.000000    0.073786           6, 1
sky                               1.602060    0.000000    0.090858          0, 24
slow                              1.000000    0.000000    0.056713          3, 79
slowly                            1.000000    0.000000    0.056713          6, 55
small                             1.477121    0.000000    0.083772          0, 56
smell                             1.000000    0.301030    0.056713          4, 26
soft                              1.000000    0.000000    0.056713          5, 30
soften                            0.000000    0.301030    0.000000            N/A
softer                            1.000000    0.301030    0.056713          6, 76
softly                            0.000000    0.301030    0.000000            N/A
soil                              0.000000    0.301030    0.000000            N/A
solemn                            0.000000    0.301030    0.000000            N/A
solve                             1.000000    0.301030    0.056713         14, 32
sound                             1.301030    0.000000    0.073786           5, 2
speed                             1.000000    0.301030    0.056713         12, 20
splash                            1.000000    0.301030    0.056713           7, 8
spread                            1.000000    0.000000    0.056713          7, 14
stained                           1.000000    0.301030    0.056713          9, 24
stand                             1.000000    0.000000    0.056713          2, 40
start                             0.000000    0.301030    0.000000            N/A
startling                         1.000000    0.301030    0.056713          9, 31
stay                              1.000000    0.000000    0.056713          4, 56
steady                            0.000000    0.301030    0.000000            N/A
steadymaybe                       0.000000    0.301030    0.000000            N/A
step                              1.477121    0.000000    0.083772          4, 44
stillness                         1.602060    0.000000    0.090858          3, 33
stone                             0.000000    0.301030    0.000000            N/A
stop                              1.000000    0.000000    0.056713         10, 17
straight                          0.000000    0.301030    0.000000            N/A
stretch                           1.000000    0.000000    0.056713          5, 44
strokes                           1.000000    0.301030    0.056713          0, 27
success                           0.000000    0.301030    0.000000            N/A
successful                        1.000000    0.301030    0.056713         11, 34
sudden                            1.000000    0.301030    0.056713           7, 7
suddenly                          0.000000    0.301030    0.000000            N/A
sun                               1.477121    0.000000    0.083772          0, 16
sunlight                          1.000000    0.000000    0.056713          9, 13
surface                           1.477121    0.000000    0.083772          5, 51
swayed                            1.301030    0.000000    0.073786          2, 25
talk                              1.000000    0.301030    0.056713          1, 39
tall                              1.000000    0.000000    0.056713          2, 23
tides                             0.000000    0.301030    0.000000            N/A
time                              1.477121    0.000000    0.083772           1, 9
timeless                          0.000000    0.301030    0.000000            N/A
tiny                              1.000000    0.000000    0.056713          9, 21
today                             1.000000    0.000000    0.056713          1, 17
tooit                             1.000000    0.301030    0.056713          4, 49
toowithout                        0.000000    0.301030    0.000000            N/A
touch                             1.000000    0.000000    0.056713          6, 46
trail                             1.000000    0.000000    0.056713          4, 10
travel                            1.000000    0.301030    0.056713          7, 23
traveler                          1.000000    0.301030    0.056713          1, 64
