=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/esp-01.txt
  - documents/esp-02.txt
  - documents/esp-03.txt

•Stop Words File: stop-words/stop-words-es.txt
•Lemmatization File: lemmatization/corpus-es.json

=============================== TABLES OF TERMS ================================

=========================== documents/esp-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
esperara                          0.000000    0.477121    0.000000            N/A
est                               1.301030    0.477121    0.061018          3, 83
estar                             1.778151    0.000000    0.083394          4, 34
estrella                          0.000000    0.477121    0.000000            N/A
eterno                            0.000000    0.477121    0.000000            N/A
exactamente                       1.000000    0.477121    0.046899          6, 15
existe                            1.000000    0.477121    0.046899          0, 41
existencias                       1.000000    0.477121    0.046899          7, 58
expandieron                       1.000000    0.477121    0.046899          7, 21
extenda                           1.477121    0.477121    0.069276          2, 13
fcil                              1.301030    0.477121    0.061018          1, 37
fijo                              0.000000    0.477121    0.000000            N/A
filtrarse                         0.000000    0.477121    0.000000            N/A
final                             1.000000    0.477121    0.046899          14, 3
finas                             1.000000    0.477121    0.046899          9, 13
firmar                            1.000000    0.477121    0.046899          2, 40
firmes                            1.000000    0.477121    0.046899         13, 18
flotar                            0.000000    0.477121    0.000000            N/A
fluir                             1.000000    0.477121    0.046899          6, 84
fondo                             0.000000    0.477121    0.000000            N/A
forma                             1.000000    0.477121    0.046899         14, 48
formaba                           0.000000    0.176091    0.000000            N/A
fra                               0.000000    0.477121    0.000000            N/A
fracaso                           1.000000    0.477121    0.046899         11, 21
fragmentos                        1.000000    0.176091    0.046899          9, 17
fresco                            1.000000    0.477121    0.046899          0, 33
fro                               1.000000    0.477121    0.046899          0, 35
fuera                             1.000000    0.477121    0.046899           7, 5
fugaz                             0.000000    0.477121    0.000000            N/A
furia                             0.000000    0.477121    0.000000            N/A
golpe                             1.000000    0.477121    0.046899          6, 75
gota                              0.000000    0.477121    0.000000            N/A
gotas                             0.000000    0.477121    0.000000            N/A
gratitud                          1.000000    0.477121    0.046899         13, 25
guarda                            0.000000    0.477121    0.000000            N/A
guardaba                          1.000000    0.477121    0.046899          3, 26
guardianes                        1.000000    0.477121    0.046899          2, 42
guiara                            0.000000    0.477121    0.000000            N/A
gustaba                           1.000000    0.477121    0.046899           3, 5
haba                              1.301030    0.176091    0.061018           1, 5
haber                             1.000000    0.000000    0.046899          8, 23
habra                             1.000000    0.477121    0.046899         10, 20
hacerte                           0.000000    0.477121    0.000000            N/A
hasta                             1.000000    0.000000    0.046899          7, 25
hierba                            1.000000    0.477121    0.046899          2, 57
hierbas                           1.000000    0.477121    0.046899          2, 19
hilera                            1.000000    0.477121    0.046899          2, 33
historias                         0.000000    0.477121    0.000000            N/A
hmeda                             1.000000    0.176091    0.046899          4, 21
hmedas                            0.000000    0.477121    0.000000            N/A
hmedo                             0.000000    0.477121    0.000000            N/A
hoja                              0.000000    0.477121    0.000000            N/A
hojas                             1.000000    0.176091    0.046899          1, 29
hombro                            0.000000    0.477121    0.000000            N/A
horarios                          1.000000    0.477121    0.046899         12, 18
horas                             0.000000    0.477121    0.000000            N/A
horizonte                         1.000000    0.477121    0.046899          0, 24
hubiera                           1.000000    0.477121    0.046899         10, 12
hundidas                          0.000000    0.477121    0.000000            N/A
igual                             1.000000    0.000000    0.046899          1, 12
imaginar                          1.000000    0.477121    0.046899          1, 38
importaba                         1.000000    0.477121    0.046899         11, 14
inmenso                           1.000000    0.176091    0.046899          2, 71
insecto                           0.000000    0.477121    0.000000            N/A
instante                          0.000000    0.477121    0.000000            N/A
intentaban                        1.000000    0.477121    0.046899          2, 64
interrupcin                       0.000000    0.477121    0.000000            N/A
intruso                           1.000000    0.477121    0.046899          1, 63
invisible                         0.000000    0.477121    0.000000            N/A
invitado                          1.000000    0.477121    0.046899          1, 68
irregular                         1.000000    0.477121    0.046899           4, 9
izquierda                         1.000000    0.477121    0.046899          2, 11
juntar                            0.000000    0.477121    0.000000            N/A
justo                             1.000000    0.477121    0.046899         11, 33
lado                              1.000000    0.477121    0.046899          6, 41
lago                              2.041393    0.477121    0.095740          0, 65
le                                1.000000    0.477121    0.046899         11, 13
lejano                            0.000000    0.477121    0.000000            N/A
lentitud                          1.000000    0.176091    0.046899          6, 47
lento                             1.000000    0.477121    0.046899          2, 55
levant                            0.000000    0.477121    0.000000            N/A
levar                             0.000000    0.477121    0.000000            N/A
liblula                           1.000000    0.477121    0.046899           9, 1
ligero                            1.000000    0.477121    0.046899         14, 30
limpio                            0.000000    0.477121    0.000000            N/A
llamaron                          1.000000    0.477121    0.046899          1, 25
llegando                          1.000000    0.477121    0.046899          6, 23
llegar                            0.000000    0.477121    0.000000            N/A
llegara                           1.000000    0.477121    0.046899          0, 63
llegu                             1.000000    0.477121    0.046899          14, 1
llena                             1.000000    0.477121    0.046899           8, 7
lleno                             1.000000    0.477121    0.046899         14, 22
llev                              1.301030    0.477121    0.061018          0, 47
llevaban                          1.000000    0.477121    0.046899          6, 38
llevar                            0.000000    0.477121    0.000000            N/A
llovido                           0.000000    0.477121    0.000000            N/A
luego                             1.000000    0.477121    0.046899          5, 19
lugar                             1.000000    0.477121    0.046899          3, 37
luna                              0.000000    0.477121    0.000000            N/A
luz                               1.602060    0.176091    0.075136          0, 15
m                                 1.000000    0.000000    0.046899          5, 30
maana                             1.477121    0.477121    0.069276           0, 4
madera                            0.000000    0.477121    0.000000            N/A
manera                            0.000000    0.477121    0.000000            N/A
mantena                           1.000000    0.477121    0.046899          4, 47
mar                               0.000000    0.477121    0.000000            N/A
me                                2.230449    0.000000    0.104607          1, 60
mecan                             1.000000    0.477121    0.046899          2, 23
mecindose                         1.000000    0.477121    0.046899         13, 14
medida                            1.000000    0.477121    0.046899           4, 1
medio                             0.000000    0.477121    0.000000            N/A
menos                             1.000000    0.176091    0.046899          6, 72
mi                                1.301030    0.176091    0.061018          1, 26
mide                              0.000000    0.477121    0.000000            N/A
miraba                            0.000000    0.477121    0.000000            N/A
mirada                            0.000000    0.477121    0.000000            N/A
mirar                             1.301030    0.477121    0.061018          4, 37
mismo                             1.000000    0.477121    0.046899         13, 10
mismos                            0.000000    0.477121    0.000000            N/A
mojada                            0.000000    0.477121    0.000000            N/A
molestaba                         1.000000    0.477121    0.046899          4, 43
momento                           1.000000    0.176091    0.046899          2, 47
momentos                          1.301030    0.477121    0.061018         10, 24
mostramos                         0.000000    0.477121    0.000000            N/A
moverse                           1.000000    0.477121    0.046899          3, 92
movimiento                        1.000000    0.176091    0.046899         14, 24
movimientos                       1.000000    0.477121    0.046899          7, 45
ms                                2.176091    0.477121    0.102057          0, 48
muchas                            1.000000    0.477121    0.046899           1, 7
mundo                             1.602060    0.176091    0.075136          1, 58
murmuraban                        1.000000    0.477121    0.046899          1, 40
musgo                             0.000000    0.477121    0.000000            N/A
nada                              1.000000    0.000000    0.046899         11, 11
necesita                          1.000000    0.477121    0.046899          3, 91
necesitaba                        1.000000    0.176091    0.046899         11, 36
ni                                1.301030    0.176091    0.061018          4, 58
ningn                             1.000000    0.477121    0.046899          3, 35
no                                2.255273    0.000000    0.105771          0, 46
noche                             0.000000    0.176091    0.000000            N/A
normalmente                       1.000000    0.477121    0.046899          6, 59
notar                             1.000000    0.477121    0.046899          6, 56
notarlos                          1.000000    0.477121    0.046899         10, 34
nubes                             0.000000    0.477121    0.000000            N/A
nuevo                             1.000000    0.477121    0.046899          1, 17
nunca                             1.000000    0.176091    0.046899          1, 10
o                                 1.301030    0.176091    0.061018           5, 2
obligaba                          1.000000    0.477121    0.046899          4, 32
observndolo                       0.000000    0.477121    0.000000            N/A
ocultos                           1.000000    0.477121    0.046899          7, 46
ocupados                          1.000000    0.477121    0.046899          1, 54
ocupar                            1.000000    0.477121    0.046899         10, 32
ola                               1.000000    0.176091    0.046899          4, 18
olas                              1.000000    0.176091    0.046899          2, 25
oleaje                            0.000000    0.477121    0.000000            N/A
ondas                             1.301030    0.477121    0.061018          6, 36
orilla                            1.000000    0.176091    0.046899          5, 12
otra                              0.000000    0.477121    0.000000            N/A
paciencia                         0.000000    0.477121    0.000000            N/A
palabras                          1.000000    0.477121    0.046899          6, 21
pareca                            1.477121    0.176091    0.069276          1, 11
pareci                            0.000000    0.477121    0.000000            N/A
parezca                           0.000000    0.477121    0.000000            N/A
parte                             1.301030    0.176091    0.061018          4, 28
pasar                             1.000000    0.477121    0.046899         10, 28
pasara                            1.000000    0.477121    0.046899          6, 60
paseo                             1.000000    0.477121    0.046899          6, 49
paso                              1.477121    0.176091    0.069276          4, 39
pasos                             0.000000    0.477121    0.000000            N/A
paz                               1.000000    0.477121    0.046899         12, 37
peces                             1.000000    0.477121    0.046899          7, 43
ped                               0.000000    0.477121    0.000000            N/A
peda                              1.000000    0.477121    0.046899         11, 10
pedazos                           0.000000    0.477121    0.000000            N/A
pedir                             0.000000    0.477121    0.000000            N/A
pendientes                        0.000000    0.477121    0.000000            N/A
pens                              1.301030    0.000000    0.061018          7, 27
