=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/esp-01.txt
  - documents/esp-02.txt
  - documents/esp-03.txt
  - documents/esp-04.txt
  - documents/esp-05.txt

•Stop Words File: stop-words/stop-words-es.txt
•Lemmatization File: lemmatization/corpus-es.json

=============================== TABLES OF TERMS ================================

=========================== documents/esp-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
encend                            0.000000    0.698970    0.000000            N/A
encontr                           1.000000    0.698970    0.046899           6, 0
encontraba                        1.000000    0.698970    0.046899          3, 33
encontrado                        0.000000    0.698970    0.000000            N/A
encontrarse                       1.000000    0.698970    0.046899         13, 37
enfriarse                         0.000000    0.698970    0.000000            N/A
enorme                            0.000000    0.698970    0.000000            N/A
entender                          0.000000    0.698970    0.000000            N/A
entera                            0.000000    0.698970    0.000000            N/A
entr                              0.000000    0.698970    0.000000            N/A
envolvi                           0.000000    0.698970    0.000000            N/A
equilibrio                        1.000000    0.698970    0.046899          7, 48
esa                               1.477121    0.221849    0.069276          0, 37
esas                              1.000000    0.397940    0.046899          7, 56
escaparates                       0.000000    0.698970    0.000000            N/A
escondemos                        0.000000    0.698970    0.000000            N/A
escondida                         1.000000    0.698970    0.046899         13, 41
escrib                            1.477121    0.698970    0.069276          6, 24
escriba                           1.000000    0.698970    0.046899           7, 1
escribe                           0.000000    0.698970    0.000000            N/A
escribir                          1.477121    0.397940    0.069276          0, 60
escuchado                         0.000000    0.698970    0.000000            N/A
escuchando                        0.000000    0.698970    0.000000            N/A
esfuerzo                          1.000000    0.698970    0.046899         11, 18
espantarla                        1.000000    0.698970    0.046899          9, 25
espejo                            1.000000    0.397940    0.046899          3, 41
esperaba                          1.000000    0.397940    0.046899         12, 15
esperara                          0.000000    0.397940    0.000000            N/A
est                               1.301030    0.397940    0.061018          3, 83
estacin                           0.000000    0.698970    0.000000            N/A
estaciones                        0.000000    0.698970    0.000000            N/A
estar                             1.778151    0.000000    0.083394          4, 34
estara                            0.000000    0.698970    0.000000            N/A
estrella                          0.000000    0.698970    0.000000            N/A
estrellas                         0.000000    0.698970    0.000000            N/A
eterno                            0.000000    0.698970    0.000000            N/A
evitar                            0.000000    0.698970    0.000000            N/A
exactamente                       1.000000    0.397940    0.046899          6, 15
existe                            1.000000    0.698970    0.046899          0, 41
existencias                       1.000000    0.698970    0.046899          7, 58
expandieron                       1.000000    0.698970    0.046899          7, 21
extenda                           1.477121    0.698970    0.069276          2, 13
extraa                            0.000000    0.698970    0.000000            N/A
extrao                            0.000000    0.698970    0.000000            N/A
fantasmas                         0.000000    0.698970    0.000000            N/A
farolas                           0.000000    0.698970    0.000000            N/A
fcil                              1.301030    0.698970    0.061018          1, 37
fijo                              0.000000    0.698970    0.000000            N/A
filtrarse                         0.000000    0.698970    0.000000            N/A
final                             1.000000    0.397940    0.046899          14, 3
finas                             1.000000    0.698970    0.046899          9, 13
firmar                            1.000000    0.698970    0.046899          2, 40
firmes                            1.000000    0.698970    0.046899         13, 18
flota                             0.000000    0.698970    0.000000            N/A
flotar                            0.000000    0.698970    0.000000            N/A
fluir                             1.000000    0.698970    0.046899          6, 84
fondo                             0.000000    0.698970    0.000000            N/A
forma                             1.000000    0.698970    0.046899         14, 48
formaba                           0.000000    0.397940    0.000000            N/A
fra                               0.000000    0.698970    0.000000            N/A
fracaso                           1.000000    0.698970    0.046899         11, 21
fragmentos                        1.000000    0.397940    0.046899          9, 17
frente                            0.000000    0.698970    0.000000            N/A
fresco                            1.000000    0.397940    0.046899          0, 33
fro                               1.000000    0.397940    0.046899          0, 35
fuera                             1.000000    0.397940    0.046899           7, 5
fugaz                             0.000000    0.698970    0.000000            N/A
fumar                             0.000000    0.698970    0.000000            N/A
furia                             0.000000    0.698970    0.000000            N/A
gente                             0.000000    0.698970    0.000000            N/A
golpe                             1.000000    0.698970    0.046899          6, 75
gota                              0.000000    0.698970    0.000000            N/A
gotas                             0.000000    0.698970    0.000000            N/A
gratitud                          1.000000    0.698970    0.046899         13, 25
gris                              0.000000    0.698970    0.000000            N/A
grupo                             0.000000    0.698970    0.000000            N/A
guarda                            0.000000    0.698970    0.000000            N/A
guardaba                          1.000000    0.698970    0.046899          3, 26
guardara                          0.000000    0.698970    0.000000            N/A
guardia                           0.000000    0.698970    0.000000            N/A
guardianes                        1.000000    0.698970    0.046899          2, 42
guiara                            0.000000    0.698970    0.000000            N/A
gustaba                           1.000000    0.698970    0.046899           3, 5
haba                              1.301030    0.096910    0.061018           1, 5
haber                             1.000000    0.000000    0.046899          8, 23
hablaba                           0.000000    0.698970    0.000000            N/A
hablando                          0.000000    0.698970    0.000000            N/A
habra                             1.000000    0.397940    0.046899         10, 20
hacerte                           0.000000    0.698970    0.000000            N/A
halos                             0.000000    0.698970    0.000000            N/A
hasta                             1.000000    0.096910    0.046899          7, 25
hierba                            1.000000    0.698970    0.046899          2, 57
hierbas                           1.000000    0.698970    0.046899          2, 19
hilera                            1.000000    0.698970    0.046899          2, 33
historias                         0.000000    0.397940    0.000000            N/A
hmeda                             1.000000    0.397940    0.046899          4, 21
hmedas                            0.000000    0.698970    0.000000            N/A
hmedo                             0.000000    0.397940    0.000000            N/A
hoja                              0.000000    0.698970    0.000000            N/A
hojas                             1.000000    0.397940    0.046899          1, 29
hombre                            0.000000    0.397940    0.000000            N/A
hombro                            0.000000    0.698970    0.000000            N/A
horarios                          1.000000    0.397940    0.046899         12, 18
horas                             0.000000    0.397940    0.000000            N/A
horizonte                         1.000000    0.698970    0.046899          0, 24
hostiles                          0.000000    0.698970    0.000000            N/A
hubiera                           1.000000    0.397940    0.046899         10, 12
humo                              0.000000    0.698970    0.000000            N/A
hundidas                          0.000000    0.698970    0.000000            N/A
igual                             1.000000    0.096910    0.046899          1, 12
iluminaran                        0.000000    0.698970    0.000000            N/A
imaginar                          1.000000    0.698970    0.046899          1, 38
importaba                         1.000000    0.698970    0.046899         11, 14
improbables                       0.000000    0.698970    0.000000            N/A
inmenso                           1.000000    0.397940    0.046899          2, 71
insecto                           0.000000    0.698970    0.000000            N/A
insistencia                       0.000000    0.698970    0.000000            N/A
instante                          0.000000    0.397940    0.000000            N/A
intencin                          0.000000    0.698970    0.000000            N/A
intensidad                        0.000000    0.698970    0.000000            N/A
intentaban                        1.000000    0.698970    0.046899          2, 64
intermedios                       0.000000    0.698970    0.000000            N/A
interrupcin                       0.000000    0.698970    0.000000            N/A
intruso                           1.000000    0.698970    0.046899          1, 63
invierno                          0.000000    0.698970    0.000000            N/A
invisible                         0.000000    0.397940    0.000000            N/A
invitado                          1.000000    0.698970    0.046899          1, 68
irregular                         1.000000    0.698970    0.046899           4, 9
