=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/document-01.txt
  - documents/document-02.txt
  - documents/document-03.txt
  - documents/document-04.txt
  - documents/document-05.txt
  - documents/document-06.txt
  - documents/document-07.txt
  - documents/document-08.txt
  - documents/document-09.txt
  - documents/document-10.txt

•Stop Words File: stop-words/stop-words-en.txt
•Lemmatization File: lemmatization/corpus-en.json

=============================== TABLES OF TERMS ================================

=========================== documents/document-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
feel                              1.845098    0.000000    0.104641          0, 35
field                             1.477121    0.221849    0.083772          2, 18
figure                            0.000000    1.000000    0.000000            N/A
fill                              0.000000    0.301030    0.000000            N/A
find                              1.000000    0.045757    0.056713         13, 47
firm                              1.000000    0.698970    0.056713          2, 43
fish                              1.301030    0.000000    0.073786          7, 11
flashes                           0.000000    1.000000    0.000000            N/A
flat                              1.000000    0.301030    0.056713           6, 4
fleeting                          0.000000    1.000000    0.000000            N/A
flew                              0.000000    1.000000    0.000000            N/A
flitted                           0.000000    1.000000    0.000000            N/A
flow                              0.000000    0.397940    0.000000            N/A
focus                             0.000000    0.698970    0.000000            N/A
follow                            0.000000    0.154902    0.000000            N/A
fora                              0.000000    1.000000    0.000000            N/A
force                             1.000000    0.698970    0.056713          4, 53
forest                            1.000000    0.397940    0.056713          2, 49
forests                           0.000000    1.000000    0.000000            N/A
forget                            1.000000    0.698970    0.056713          2, 65
forthe                            0.000000    1.000000    0.000000            N/A
fragile                           0.000000    1.000000    0.000000            N/A
fragments                         0.000000    0.698970    0.000000            N/A
freeze                            0.000000    0.698970    0.000000            N/A
freshly                           0.000000    1.000000    0.000000            N/A
freshness                         0.000000    0.301030    0.000000            N/A
frighten                          0.000000    1.000000    0.000000            N/A
full                              1.301030    0.154902    0.073786          4, 28
fully                             0.000000    0.397940    0.000000            N/A
future                            0.000000    1.000000    0.000000            N/A
gentle                            1.000000    0.154902    0.056713          5, 20
gentler                           0.000000    0.154902    0.000000            N/A
gently                            1.000000    0.045757    0.056713          3, 38
give                              1.000000    0.096910    0.056713         14, 39
glass                             1.000000    0.000000    0.056713          9, 25
gleaming                          0.000000    0.522879    0.000000            N/A
glimmered                         0.000000    0.698970    0.000000            N/A
glimmering                        0.000000    1.000000    0.000000            N/A
glow                              0.000000    1.000000    0.000000            N/A
glowing                           0.000000    1.000000    0.000000            N/A
goals                             0.000000    1.000000    0.000000            N/A
gold                              0.000000    0.154902    0.000000            N/A
grass                             0.000000    0.397940    0.000000            N/A
grasses                           1.000000    0.154902    0.056713          2, 21
grateful                          0.000000    0.522879    0.000000            N/A
gratefully                        0.000000    1.000000    0.000000            N/A
gratitude                         1.000000    0.221849    0.056713         13, 32
great                             0.000000    1.000000    0.000000            N/A
greet                             0.000000    1.000000    0.000000            N/A
ground                            1.301030    0.000000    0.073786          0, 39
grow                              1.000000    0.000000    0.056713          2, 22
guard                             0.000000    0.397940    0.000000            N/A
guardians                         1.000000    0.397940    0.056713          2, 46
guest                             0.000000    0.698970    0.000000            N/A
hadnt                             1.000000    0.000000    0.056713         10, 16
hang                              0.000000    1.000000    0.000000            N/A
hard                              0.000000    1.000000    0.000000            N/A
harmless                          1.000000    1.000000    0.056713          1, 63
harmony                           0.000000    1.000000    0.000000            N/A
head                              0.000000    0.698970    0.000000            N/A
heal                              0.000000    0.698970    0.000000            N/A
hear                              1.000000    0.154902    0.056713           7, 5
heavens                           0.000000    0.397940    0.000000            N/A
heavy                             0.000000    0.698970    0.000000            N/A
hereless                          0.000000    0.221849    0.000000            N/A
herenot                           1.000000    0.698970    0.056713          6, 71
hide                              1.301030    0.096910    0.073786          7, 57
high                              0.000000    1.000000    0.000000            N/A
higher                            1.301030    0.000000    0.073786          5, 62
hints                             0.000000    1.000000    0.000000            N/A
hold                              1.301030    0.000000    0.073786          3, 32
hopped                            0.000000    1.000000    0.000000            N/A
horizon                           0.000000    0.154902    0.000000            N/A
hours                             0.000000    1.000000    0.000000            N/A
house                             0.000000    0.698970    0.000000            N/A
hurry                             0.000000    0.221849    0.000000            N/A
i                                 2.643453    0.000000    0.149919           0, 6
idea                              0.000000    0.522879    0.000000            N/A
identical                         0.000000    0.522879    0.000000            N/A
ignore                            0.000000    1.000000    0.000000            N/A
imagine                           1.000000    0.698970    0.056713          1, 34
important                         1.000000    0.698970    0.056713         12, 38
impossible                        0.000000    1.000000    0.000000            N/A
infinite                          0.000000    1.000000    0.000000            N/A
interruptions                     1.000000    1.000000    0.056713          8, 13
intruder                          0.000000    0.698970    0.000000            N/A
invisible                         0.000000    0.698970    0.000000            N/A
ishow                             0.000000    1.000000    0.000000            N/A
itfish                            0.000000    1.000000    0.000000            N/A
jot                               0.000000    1.000000    0.000000            N/A
judge                             0.000000    0.698970    0.000000            N/A
judgment                          1.000000    0.698970    0.056713         11, 48
jump                              1.000000    0.522879    0.056713          7, 12
kind                              1.000000    0.000000    0.056713         11, 50
laid                              1.000000    0.698970    0.056713          3, 37
lake                              2.113943    0.000000    0.119889          0, 14
lakenot                           0.000000    1.000000    0.000000            N/A
lakes                             0.000000    0.397940    0.000000            N/A
lakesomething                     0.000000    1.000000    0.000000            N/A
land                              1.000000    0.000000    0.056713           9, 2
lap                               1.000000    0.698970    0.056713          5, 21
lapped                            0.000000    1.000000    0.000000            N/A
lapping                           0.000000    1.000000    0.000000            N/A
layer                             0.000000    1.000000    0.000000            N/A
layers                            0.000000    1.000000    0.000000            N/A
laying                            0.000000    1.000000    0.000000            N/A
lead                              0.000000    0.698970    0.000000            N/A
leap                              0.000000    1.000000    0.000000            N/A
leapt                             0.000000    0.301030    0.000000            N/A
learn                             1.000000    0.522879    0.056713          8, 36
leave                             1.000000    0.000000    0.056713          1, 24
lie                               0.000000    0.397940    0.000000            N/A
life                              1.477121    0.000000    0.083772          2, 70
lift                              1.000000    0.000000    0.056713          9, 46
light                             1.301030    0.000000    0.073786          5, 55
lighter                           1.000000    0.000000    0.056713         14, 24
lightly                           0.000000    0.698970    0.000000            N/A
limit                             0.000000    0.698970    0.000000            N/A
line                              0.000000    0.301030    0.000000            N/A
lingered                          0.000000    1.000000    0.000000            N/A
lingers                           0.000000    1.000000    0.000000            N/A
live                              0.000000    0.522879    0.000000            N/A
lock                              0.000000    0.397940    0.000000            N/A
long                              1.000000    0.000000    0.056713          3, 54
longer                            0.000000    0.698970    0.000000            N/A
lose                              1.000000    0.522879    0.056713          3, 58
loud                              1.000000    0.397940    0.056713          5, 16
love                              0.000000    0.522879    0.000000            N/A
mark                              0.000000    1.000000    0.000000            N/A
mattered                          0.000000    0.698970    0.000000            N/A
meadow                            0.000000    0.301030    0.000000            N/A
meant                             0.000000    0.698970    0.000000            N/A
measure                           1.000000    0.221849    0.056713         11, 26
mejust                            0.000000    1.000000    0.000000            N/A
menot                             0.000000    1.000000    0.000000            N/A
meonly                            0.000000    0.698970    0.000000            N/A
mesomething                       1.000000    1.000000    0.056713         12, 29
messages                          0.000000    1.000000    0.000000            N/A
methe                             0.000000    1.000000    0.000000            N/A
middle                            0.000000    1.000000    0.000000            N/A
mind                              1.000000    0.221849    0.056713          4, 64
minutes                           1.000000    0.698970    0.056713          2, 94
mirror                            1.000000    0.096910    0.056713          3, 36
mix                               0.000000    1.000000    0.000000            N/A
moment                            1.477121    0.000000    0.083772          2, 54
moments                           1.301030    0.045757    0.073786          10, 9
morning                           1.000000    0.000000    0.056713           0, 4
motion                            0.000000    0.397940    0.000000            N/A
move                              1.477121    0.045757    0.083772          6, 40
movement                          0.000000    0.301030    0.000000            N/A
movements                         0.000000    0.698970    0.000000            N/A
movingfish                        0.000000    1.000000    0.000000            N/A
murmuring                         0.000000    1.000000    0.000000            N/A
narrow                            1.000000    0.522879    0.056713           2, 9
needles                           0.000000    0.698970    0.000000            N/A
night                             1.000000    0.301030    0.056713          0, 47
nights                            0.000000    1.000000    0.000000            N/A
noise                             1.301030    0.000000    0.073786          2, 68
noisy                             1.000000    0.221849    0.056713          8, 10
notebook                          1.602060    0.000000    0.090858          0, 57
notebookthinking                  0.000000    1.000000    0.000000            N/A
notice                            1.602060    0.000000    0.090858          1, 14
ocean                             1.000000    0.698970    0.056713          2, 30
offer                             0.000000    0.522879    0.000000            N/A
open                              1.301030    0.000000    0.073786          2, 17
orange                            1.000000    0.698970    0.056713          0, 29
ordinary                          0.000000    0.397940    0.000000            N/A
outsider                          0.000000    1.000000    0.000000            N/A
outward                           0.000000    0.221849    0.000000            N/A
outwards                          0.000000    1.000000    0.000000            N/A
overhead                          0.000000    0.522879    0.000000            N/A
overlook                          0.000000    0.522879    0.000000            N/A
pace                              0.000000    0.301030    0.000000            N/A
pack                              0.000000    1.000000    0.000000            N/A
paint                             1.000000    0.522879    0.056713          0, 22
pale                              1.000000    0.096910    0.056713          0, 31
part                              1.301030    0.397940    0.073786           2, 2
parted                            0.000000    1.000000    0.000000            N/A
pass                              1.477121    0.045757    0.083772          2, 92
path                              1.698970    0.000000    0.096354           1, 1
patience                          0.000000    1.000000    0.000000            N/A
patient                           0.000000    1.000000    0.000000            N/A
patiently                         0.000000    1.000000    0.000000            N/A
pause                             1.000000    0.045757    0.056713          2, 51
pay                               1.000000    0.096910    0.056713         13, 59
peace                             1.000000    0.045757    0.056713         12, 42
pen                               1.000000    0.096910    0.056713          0, 60
penjust                           0.000000    1.000000    0.000000            N/A
penthinking                       0.000000    1.000000    0.000000            N/A
perfect                           0.000000    0.698970    0.000000            N/A
perfectly                         0.000000    0.698970    0.000000            N/A
piece                             0.000000    1.000000    0.000000            N/A
pieces                            1.301030    0.522879    0.073786          3, 87
pine                              1.000000    0.045757    0.056713          4, 30
pines                             1.000000    0.096910    0.056713          2, 39
pink                              0.000000    0.221849    0.000000            N/A
place                             1.000000    0.096910    0.056713         13, 42
placenot                          0.000000    0.698970    0.000000            N/A
plan                              0.000000    1.000000    0.000000            N/A
plant                             1.000000    0.000000    0.056713          7, 55
polished                          0.000000    1.000000    0.000000            N/A
posted                            0.000000    1.000000    0.000000            N/A
precious                          0.000000    1.000000    0.000000            N/A
presence                          1.000000    0.698970    0.056713          1, 53
present                           1.000000    0.096910    0.056713          4, 52
press                             0.000000    1.000000    0.000000            N/A
pretty                            0.000000    1.000000    0.000000            N/A
problem                           0.000000    0.522879    0.000000            N/A
problems                          1.000000    0.397940    0.056713         14, 35
proof                             0.000000    0.698970    0.000000            N/A
prove                             1.000000    1.000000    0.056713         11, 23
pull                              0.000000    0.698970    0.000000            N/A
quick                             0.000000    0.397940    0.000000            N/A
quickly                           0.000000    0.154902    0.000000            N/A
quiet                             1.301030    0.000000    0.073786           0, 3
quieter                           0.000000    1.000000    0.000000            N/A
quietly                           1.301030    0.154902    0.073786          1, 38
race                              0.000000    1.000000    0.000000            N/A
rare                              1.000000    0.000000    0.056713         11, 54
reach                             1.477121    0.000000    0.083772           4, 1
realize                           1.301030    0.000000    0.073786          10, 1
reason                            0.000000    0.522879    0.000000            N/A
reasoni                           0.000000    1.000000    0.000000            N/A
reasonit                          0.000000    1.000000    0.000000            N/A
reflect                           1.000000    0.000000    0.056713          3, 43
remember                          0.000000    1.000000    0.000000            N/A
remind                            1.301030    0.096910    0.073786          3, 76
reminder                          1.000000    0.000000    0.056713         12, 47
repeat                            0.000000    1.000000    0.000000            N/A
require                           1.000000    0.698970    0.056713          4, 36
rest                              1.000000    0.522879    0.056713          9, 40
restless                          0.000000    0.397940    0.000000            N/A
return                            0.000000    0.301030    0.000000            N/A
reveal                            0.000000    0.154902    0.000000            N/A
rhythm                            0.000000    0.096910    0.000000            N/A
ring                              0.000000    0.301030    0.000000            N/A
rippled                           0.000000    0.698970    0.000000            N/A
ripples                           1.000000    0.000000    0.056713          7, 13
rise                              1.000000    0.096910    0.056713          0, 21
river                             0.000000    1.000000    0.000000            N/A
road                              1.000000    0.045757    0.056713          2, 11
rock                              1.000000    0.221849    0.056713           6, 5
roll                              0.000000    0.698970    0.000000            N/A
roots                             1.000000    0.000000    0.056713          4, 22
ropes                             0.000000    0.698970    0.000000            N/A
rougher                           0.000000    0.301030    0.000000            N/A
row                               1.000000    0.221849    0.056713          2, 37
